name,pos,pts
Jorge Martin,1,null
Aleix Espargaro,2,null
Pedro Acosta,3,null
Marc Marquez,4,null
Brad Binder,5,null
Johann Zarco,6,null
Enea Bastianini,7,null
Fabio Di Giannantonio,8,null
Jack Miller,9,null
Francesco Bagnaia,10,null
Alex Marquez,11,null
Miguel Oliveira,12,null
Maverick ViÑales,13,null
Raul Fernandez,14,null
Alex Rins,15,null
Joan Mir,16,null
Luca Marini,17,null
Marco Bezzecchi,18,null
Fabio Quartararo,19,null
Augusto Fernandez,20,null
Takaaki Nakagami,21,null
Franco Morbidelli,22,null
